Queue ID, Parent, Name, Global ID
0, -1, Signal, 1
1, -1, Wait, 5
2, -1, Wait, 6
3, -1, Reset, 
4, -1, ResourceBarrier, 7
5, -1, SetDescriptorHeaps, 
6, -1, RSSetViewports, 
7, -1, RSSetScissorRects, 
8, -1, ResourceBarrier, 8
9, -1, SetDescriptorHeaps, 
10, -1, SetComputeRootSignature, 
11, -1, SetPipelineState, 
12, -1, SetComputeRootDescriptorTable, 
13, -1, SetComputeRootDescriptorTable, 
14, -1, Dispatch, 9
15, -1, ResourceBarrier, 10
16, -1, ResourceBarrier, 11
17, -1, SetComputeRootDescriptorTable, 
18, -1, SetComputeRootDescriptorTable, 
19, -1, Dispatch, 12
20, -1, ResourceBarrier, 13
21, -1, ResourceBarrier, 14
22, -1, SetComputeRootDescriptorTable, 
23, -1, SetComputeRootDescriptorTable, 
24, -1, Dispatch, 15
25, -1, ResourceBarrier, 16
26, -1, ResourceBarrier, 17
27, -1, SetComputeRootDescriptorTable, 
28, -1, SetComputeRootDescriptorTable, 
29, -1, Dispatch, 18
30, -1, ResourceBarrier, 19
31, -1, ResourceBarrier, 20
32, -1, SetComputeRootDescriptorTable, 
33, -1, SetComputeRootDescriptorTable, 
34, -1, Dispatch, 21
35, -1, ResourceBarrier, 22
36, -1, ResourceBarrier, 23
37, -1, SetComputeRootDescriptorTable, 
38, -1, SetComputeRootDescriptorTable, 
39, -1, Dispatch, 24
40, -1, ResourceBarrier, 25
41, -1, ResourceBarrier, 26
42, -1, SetComputeRootDescriptorTable, 
43, -1, SetComputeRootDescriptorTable, 
44, -1, Dispatch, 27
45, -1, ResourceBarrier, 28
46, -1, ResourceBarrier, 29
47, -1, SetComputeRootDescriptorTable, 
48, -1, SetComputeRootDescriptorTable, 
49, -1, Dispatch, 30
50, -1, ResourceBarrier, 31
51, -1, ResourceBarrier, 32
52, -1, SetComputeRootDescriptorTable, 
53, -1, SetComputeRootDescriptorTable, 
54, -1, Dispatch, 33
55, -1, ResourceBarrier, 34
56, -1, ResourceBarrier, 35
57, -1, SetComputeRootDescriptorTable, 
58, -1, SetComputeRootDescriptorTable, 
59, -1, Dispatch, 36
60, -1, ResourceBarrier, 37
61, -1, ResourceBarrier, 38
62, -1, SetDescriptorHeaps, 
63, -1, EndQuery, 
64, -1, ClearRenderTargetView, 39
65, -1, ClearDepthStencilView, 40
66, -1, OMSetRenderTargets, 
67, -1, EndQuery, 
68, -1, <deprecated - use pix3.h instead> Sky, 
69, 68, ResourceBarrier, 41
70, 68, ClearRenderTargetView, 42
71, 68, OMSetRenderTargets, 
72, 68, RSSetViewports, 
73, 68, RSSetScissorRects, 
74, 68, SetPipelineState, 
75, 68, SetGraphicsRootSignature, 
76, 68, SetDescriptorHeaps, 
77, 68, SetGraphicsRootConstantBufferView, 
78, 68, SetGraphicsRootDescriptorTable, 
79, 68, SetGraphicsRootDescriptorTable, 
80, 68, IASetPrimitiveTopology, 
81, 68, DrawInstanced, 43
82, 68, ResourceBarrier, 44
83, -1, EndQuery, 
84, -1, EndQuery, 
85, -1, <deprecated - use pix3.h instead> Shadow, 
86, 85, ResourceBarrier, 45
87, 85, RSSetViewports, 
88, 85, RSSetScissorRects, 
89, 85, ClearDepthStencilView, 46
90, 85, OMSetRenderTargets, 
91, 85, SetGraphicsRootSignature, 
92, 85, SetPipelineState, 
93, 85, SetGraphicsRootConstantBufferView, 
94, 85, SetGraphicsRoot32BitConstants, 
95, 85, SetGraphicsRoot32BitConstants, 
96, 85, SetGraphicsRootShaderResourceView, 
97, 85, SetGraphicsRoot32BitConstants, 
98, 85, SetGraphicsRoot32BitConstants, 
99, 85, IASetVertexBuffers, 
100, 85, IASetPrimitiveTopology, 
101, 85, IASetIndexBuffer, 
102, 85, DrawIndexedInstanced, 47
103, 85, SetGraphicsRootConstantBufferView, 
104, 85, SetGraphicsRoot32BitConstants, 
105, 85, SetGraphicsRoot32BitConstants, 
106, 85, SetGraphicsRootShaderResourceView, 
107, 85, SetGraphicsRoot32BitConstants, 
108, 85, SetGraphicsRoot32BitConstants, 
109, 85, IASetVertexBuffers, 
110, 85, IASetPrimitiveTopology, 
111, 85, IASetIndexBuffer, 
112, 85, DrawIndexedInstanced, 48
113, 85, SetGraphicsRootConstantBufferView, 
114, 85, SetGraphicsRoot32BitConstants, 
115, 85, SetGraphicsRoot32BitConstants, 
116, 85, SetGraphicsRootShaderResourceView, 
117, 85, SetGraphicsRoot32BitConstants, 
118, 85, SetGraphicsRoot32BitConstants, 
119, 85, IASetVertexBuffers, 
120, 85, IASetPrimitiveTopology, 
121, 85, IASetIndexBuffer, 
122, 85, DrawIndexedInstanced, 49
123, 85, SetGraphicsRootConstantBufferView, 
124, 85, SetGraphicsRoot32BitConstants, 
125, 85, SetGraphicsRoot32BitConstants, 
126, 85, SetGraphicsRootShaderResourceView, 
127, 85, SetGraphicsRoot32BitConstants, 
128, 85, SetGraphicsRoot32BitConstants, 
129, 85, IASetVertexBuffers, 
130, 85, IASetPrimitiveTopology, 
131, 85, IASetIndexBuffer, 
132, 85, DrawIndexedInstanced, 50
133, 85, SetGraphicsRootConstantBufferView, 
134, 85, SetGraphicsRoot32BitConstants, 
135, 85, SetGraphicsRoot32BitConstants, 
136, 85, SetGraphicsRootShaderResourceView, 
137, 85, SetGraphicsRoot32BitConstants, 
138, 85, SetGraphicsRoot32BitConstants, 
139, 85, IASetVertexBuffers, 
140, 85, IASetPrimitiveTopology, 
141, 85, IASetIndexBuffer, 
142, 85, DrawIndexedInstanced, 51
143, 85, SetGraphicsRootConstantBufferView, 
144, 85, SetGraphicsRoot32BitConstants, 
145, 85, SetGraphicsRoot32BitConstants, 
146, 85, SetGraphicsRootShaderResourceView, 
147, 85, SetGraphicsRoot32BitConstants, 
148, 85, SetGraphicsRoot32BitConstants, 
149, 85, IASetVertexBuffers, 
150, 85, IASetPrimitiveTopology, 
151, 85, IASetIndexBuffer, 
152, 85, DrawIndexedInstanced, 52
153, 85, SetGraphicsRootConstantBufferView, 
154, 85, SetGraphicsRoot32BitConstants, 
155, 85, SetGraphicsRoot32BitConstants, 
156, 85, SetGraphicsRootShaderResourceView, 
157, 85, SetGraphicsRoot32BitConstants, 
158, 85, SetGraphicsRoot32BitConstants, 
159, 85, IASetVertexBuffers, 
160, 85, IASetPrimitiveTopology, 
161, 85, IASetIndexBuffer, 
162, 85, DrawIndexedInstanced, 53
163, 85, SetGraphicsRootConstantBufferView, 
164, 85, SetGraphicsRoot32BitConstants, 
165, 85, SetGraphicsRoot32BitConstants, 
166, 85, SetGraphicsRootShaderResourceView, 
167, 85, SetGraphicsRoot32BitConstants, 
168, 85, SetGraphicsRoot32BitConstants, 
169, 85, IASetVertexBuffers, 
170, 85, IASetPrimitiveTopology, 
171, 85, IASetIndexBuffer, 
172, 85, DrawIndexedInstanced, 54
173, 85, SetGraphicsRootConstantBufferView, 
174, 85, SetGraphicsRoot32BitConstants, 
175, 85, SetGraphicsRoot32BitConstants, 
176, 85, SetGraphicsRootShaderResourceView, 
177, 85, SetGraphicsRoot32BitConstants, 
178, 85, SetGraphicsRoot32BitConstants, 
179, 85, IASetVertexBuffers, 
180, 85, IASetPrimitiveTopology, 
181, 85, IASetIndexBuffer, 
182, 85, DrawIndexedInstanced, 55
183, 85, SetGraphicsRootConstantBufferView, 
184, 85, SetGraphicsRoot32BitConstants, 
185, 85, SetGraphicsRoot32BitConstants, 
186, 85, SetGraphicsRootShaderResourceView, 
187, 85, SetGraphicsRoot32BitConstants, 
188, 85, SetGraphicsRoot32BitConstants, 
189, 85, IASetVertexBuffers, 
190, 85, IASetPrimitiveTopology, 
191, 85, IASetIndexBuffer, 
192, 85, DrawIndexedInstanced, 56
193, 85, SetGraphicsRootConstantBufferView, 
194, 85, SetGraphicsRoot32BitConstants, 
195, 85, SetGraphicsRoot32BitConstants, 
196, 85, SetGraphicsRootShaderResourceView, 
197, 85, SetGraphicsRoot32BitConstants, 
198, 85, SetGraphicsRoot32BitConstants, 
199, 85, IASetVertexBuffers, 
200, 85, IASetPrimitiveTopology, 
201, 85, IASetIndexBuffer, 
202, 85, DrawIndexedInstanced, 57
203, 85, SetGraphicsRootConstantBufferView, 
204, 85, SetGraphicsRoot32BitConstants, 
205, 85, SetGraphicsRoot32BitConstants, 
206, 85, SetGraphicsRootShaderResourceView, 
207, 85, SetGraphicsRoot32BitConstants, 
208, 85, SetGraphicsRoot32BitConstants, 
209, 85, IASetVertexBuffers, 
210, 85, IASetPrimitiveTopology, 
211, 85, IASetIndexBuffer, 
212, 85, DrawIndexedInstanced, 58
213, 85, SetGraphicsRootConstantBufferView, 
214, 85, SetGraphicsRoot32BitConstants, 
215, 85, SetGraphicsRoot32BitConstants, 
216, 85, SetGraphicsRootShaderResourceView, 
217, 85, SetGraphicsRoot32BitConstants, 
218, 85, SetGraphicsRoot32BitConstants, 
219, 85, IASetVertexBuffers, 
220, 85, IASetPrimitiveTopology, 
221, 85, IASetIndexBuffer, 
222, 85, DrawIndexedInstanced, 59
223, 85, SetGraphicsRootConstantBufferView, 
224, 85, SetGraphicsRoot32BitConstants, 
225, 85, SetGraphicsRoot32BitConstants, 
226, 85, SetGraphicsRootShaderResourceView, 
227, 85, SetGraphicsRoot32BitConstants, 
228, 85, SetGraphicsRoot32BitConstants, 
229, 85, IASetVertexBuffers, 
230, 85, IASetPrimitiveTopology, 
231, 85, IASetIndexBuffer, 
232, 85, DrawIndexedInstanced, 60
233, 85, SetGraphicsRootConstantBufferView, 
234, 85, SetGraphicsRoot32BitConstants, 
235, 85, SetGraphicsRoot32BitConstants, 
236, 85, SetGraphicsRootShaderResourceView, 
237, 85, SetGraphicsRoot32BitConstants, 
238, 85, SetGraphicsRoot32BitConstants, 
239, 85, IASetVertexBuffers, 
240, 85, IASetPrimitiveTopology, 
241, 85, IASetIndexBuffer, 
242, 85, DrawIndexedInstanced, 61
243, 85, SetGraphicsRootConstantBufferView, 
